Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Tomato,128,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,421,38,12,28,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,45,59
Spinach,187,slices,Dairy,Rice Pilaf,Snack,Hard,289,23,22,47,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,49,19
Beef,103,grams,Proteins,Beef Stir-Fry,Dinner,Medium,404,34,46,5,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,3,40,18
Lettuce,153,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,168,29,6,50,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,27,45
Potato,146,cups,Grains,Mashed Potatoes,Side Dish,Medium,430,49,33,36,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,10,45
Carrot,170,pieces,Vegetables,Carrot Soup,Soup,Medium,233,7,24,46,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,14,118
Onion,114,slices,Vegetables,Onion Rings,Snack,Medium,283,41,32,6,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,55,19
Chicken,152,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,399,29,12,45,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,8,46
Broccoli,67,ounces,Vegetables,Broccoli Salad,Lunch,Medium,100,41,38,13,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,44,88
Rice,115,cups,Grains,Tomato Soup,Soup,Medium,256,7,42,21,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,46,106
Tomato,166,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,383,29,24,9,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,23,34
Spinach,186,slices,Dairy,Rice Pilaf,Snack,Hard,193,17,26,21,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,35,32
Beef,162,grams,Proteins,Beef Stir-Fry,Dinner,Medium,459,44,10,21,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,13,62
Lettuce,125,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,312,8,48,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,15,36
Potato,120,cups,Grains,Mashed Potatoes,Side Dish,Medium,152,47,24,19,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,57,49
Carrot,185,pieces,Vegetables,Carrot Soup,Soup,Medium,480,17,25,25,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,40,35
Onion,191,slices,Vegetables,Onion Rings,Snack,Medium,445,33,45,29,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,48,38
Chicken,152,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,448,42,8,18,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,56,92
Broccoli,171,ounces,Vegetables,Broccoli Salad,Lunch,Medium,298,32,46,39,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,6,95
Rice,160,cups,Grains,Tomato Soup,Soup,Medium,129,19,36,5,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,43,27
Tomato,100,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,224,22,50,39,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,2,24,74
Spinach,174,slices,Dairy,Rice Pilaf,Snack,Hard,432,28,45,32,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,44,48
Beef,75,grams,Proteins,Beef Stir-Fry,Dinner,Medium,108,22,24,30,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,14,48
Lettuce,176,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,120,39,21,7,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,40,35
Potato,51,cups,Grains,Mashed Potatoes,Side Dish,Medium,319,23,42,11,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,42,29
Carrot,170,pieces,Vegetables,Carrot Soup,Soup,Medium,478,28,21,18,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,46,108
Onion,99,slices,Vegetables,Onion Rings,Snack,Medium,233,18,41,38,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,19,50
Chicken,127,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,488,45,16,38,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,39,10
Broccoli,178,ounces,Vegetables,Broccoli Salad,Lunch,Medium,161,10,21,13,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,2,33,110
Rice,136,cups,Grains,Tomato Soup,Soup,Medium,114,44,46,23,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,44,71
Tomato,141,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,371,43,35,49,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,33,59
Spinach,180,slices,Dairy,Rice Pilaf,Snack,Hard,159,26,22,42,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,49,98
Beef,184,grams,Proteins,Beef Stir-Fry,Dinner,Medium,193,50,48,30,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,3,5,108
Lettuce,180,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,338,21,11,10,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,33,30
Potato,144,cups,Grains,Mashed Potatoes,Side Dish,Medium,150,43,23,18,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,46,73
Carrot,115,pieces,Vegetables,Carrot Soup,Soup,Medium,159,5,40,10,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,2,45,46
Onion,175,slices,Vegetables,Onion Rings,Snack,Medium,360,38,10,15,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,13,99
Chicken,175,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,320,25,12,49,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,7,69
Broccoli,170,ounces,Vegetables,Broccoli Salad,Lunch,Medium,187,12,44,41,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,51,13
Rice,118,cups,Grains,Tomato Soup,Soup,Medium,404,21,36,5,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,20,77
Tomato,167,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,293,34,49,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,2,12,87
Spinach,53,slices,Dairy,Rice Pilaf,Snack,Hard,148,8,19,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,26,106
Beef,125,grams,Proteins,Beef Stir-Fry,Dinner,Medium,264,35,36,44,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,39,119
Lettuce,190,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,298,50,8,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,40,83
Potato,195,cups,Grains,Mashed Potatoes,Side Dish,Medium,204,33,8,22,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,57,77
Carrot,84,pieces,Vegetables,Carrot Soup,Soup,Medium,394,47,43,7,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,60,45
Onion,119,slices,Vegetables,Onion Rings,Snack,Medium,401,45,14,20,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,5,62
Chicken,154,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,363,23,27,8,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,58,112
Broccoli,60,ounces,Vegetables,Broccoli Salad,Lunch,Medium,258,47,7,14,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,2,28,18
Rice,170,cups,Grains,Tomato Soup,Soup,Medium,489,27,29,36,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,8,29
Tomato,87,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,266,8,27,40,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,38,109
Spinach,190,slices,Dairy,Rice Pilaf,Snack,Hard,412,36,16,42,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,23,74
Beef,200,grams,Proteins,Beef Stir-Fry,Dinner,Medium,424,43,43,39,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,52,80
Lettuce,66,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,269,38,49,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,58,20
Potato,180,cups,Grains,Mashed Potatoes,Side Dish,Medium,291,34,42,8,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,58,66
Carrot,69,pieces,Vegetables,Carrot Soup,Soup,Medium,315,49,25,12,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,56,77
Onion,195,slices,Vegetables,Onion Rings,Snack,Medium,272,48,36,32,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,8,51
Chicken,131,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,149,11,17,42,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,26,102
Broccoli,50,ounces,Vegetables,Broccoli Salad,Lunch,Medium,202,50,35,17,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,4,13,67
Rice,133,cups,Grains,Tomato Soup,Soup,Medium,171,15,29,8,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,47,119
Tomato,93,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,105,27,42,33,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,9,120
Spinach,153,slices,Dairy,Rice Pilaf,Snack,Hard,178,25,6,5,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,49,112
Beef,172,grams,Proteins,Beef Stir-Fry,Dinner,Medium,239,26,19,42,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,28,74
Lettuce,198,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,147,38,32,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,42,90
Potato,72,cups,Grains,Mashed Potatoes,Side Dish,Medium,457,19,22,31,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,38,30
Carrot,58,pieces,Vegetables,Carrot Soup,Soup,Medium,390,34,41,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,8,43
Onion,156,slices,Vegetables,Onion Rings,Snack,Medium,435,35,23,41,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,48,101
Chicken,137,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,445,35,18,9,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,17,96
Broccoli,164,ounces,Vegetables,Broccoli Salad,Lunch,Medium,361,19,10,17,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,15,59
Rice,103,cups,Grains,Tomato Soup,Soup,Medium,253,25,19,46,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,4,45,101
Tomato,85,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,285,8,41,13,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,33,66
Spinach,175,slices,Dairy,Rice Pilaf,Snack,Hard,316,48,47,14,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,52,107
Beef,167,grams,Proteins,Beef Stir-Fry,Dinner,Medium,182,12,9,16,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,30,68
Lettuce,143,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,395,20,41,33,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,13,15
Potato,131,cups,Grains,Mashed Potatoes,Side Dish,Medium,424,26,48,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,22,94
Carrot,191,pieces,Vegetables,Carrot Soup,Soup,Medium,117,36,50,12,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,41,51
Onion,63,slices,Vegetables,Onion Rings,Snack,Medium,430,5,40,30,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,19,60
Chicken,53,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,120,14,45,42,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,45,54
Broccoli,70,ounces,Vegetables,Broccoli Salad,Lunch,Medium,377,5,33,13,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,24,83
Rice,70,cups,Grains,Tomato Soup,Soup,Medium,361,38,39,42,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,4,9,72
Tomato,64,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,228,23,35,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,10,65
Spinach,53,slices,Dairy,Rice Pilaf,Snack,Hard,174,10,24,34,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,16,56
Beef,59,grams,Proteins,Beef Stir-Fry,Dinner,Medium,456,15,22,34,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,35,18
Lettuce,152,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,262,15,33,11,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,31,21
Potato,167,cups,Grains,Mashed Potatoes,Side Dish,Medium,179,5,40,12,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,48,37
Carrot,130,pieces,Vegetables,Carrot Soup,Soup,Medium,155,50,31,34,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,57,107
Onion,132,slices,Vegetables,Onion Rings,Snack,Medium,371,40,19,10,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,1,33,18
Chicken,186,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,147,13,10,16,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,53,27
Broccoli,65,ounces,Vegetables,Broccoli Salad,Lunch,Medium,212,30,11,7,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,10,76
Rice,170,cups,Grains,Tomato Soup,Soup,Medium,446,8,11,35,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,30,21
Tomato,168,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,313,36,46,48,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,52,32
Spinach,188,slices,Dairy,Rice Pilaf,Snack,Hard,415,35,39,44,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,53,88
Beef,163,grams,Proteins,Beef Stir-Fry,Dinner,Medium,417,42,30,8,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,35,60
Lettuce,159,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,133,31,12,27,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,2,42,99
Potato,113,cups,Grains,Mashed Potatoes,Side Dish,Medium,439,27,6,49,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,33,74
Carrot,82,pieces,Vegetables,Carrot Soup,Soup,Medium,246,28,44,33,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,23,94
Onion,103,slices,Vegetables,Onion Rings,Snack,Medium,133,7,40,34,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,5,47
Chicken,197,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,448,20,43,33,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,33,67
Broccoli,137,ounces,Vegetables,Broccoli Salad,Lunch,Medium,371,23,28,40,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,7,67
Rice,51,cups,Grains,Tomato Soup,Soup,Medium,114,36,35,6,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,22,64
Tomato,149,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,310,31,6,10,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,50,66
Spinach,134,slices,Dairy,Rice Pilaf,Snack,Hard,167,18,29,31,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,2,37,70
Beef,97,grams,Proteins,Beef Stir-Fry,Dinner,Medium,421,25,18,46,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,6,74
Lettuce,143,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,457,7,41,45,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,2,46,57
Potato,141,cups,Grains,Mashed Potatoes,Side Dish,Medium,132,15,13,27,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,36,112
Carrot,73,pieces,Vegetables,Carrot Soup,Soup,Medium,312,28,7,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,29,13
Onion,198,slices,Vegetables,Onion Rings,Snack,Medium,215,42,28,36,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,22,30
Chicken,56,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,100,35,36,43,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,40,19
Broccoli,174,ounces,Vegetables,Broccoli Salad,Lunch,Medium,465,30,32,6,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,36,99
Rice,177,cups,Grains,Tomato Soup,Soup,Medium,295,29,20,27,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,16,96
Tomato,116,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,299,22,44,10,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,34,14
Spinach,136,slices,Dairy,Rice Pilaf,Snack,Hard,348,28,6,10,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,9,67
Beef,138,grams,Proteins,Beef Stir-Fry,Dinner,Medium,434,5,50,50,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,15,116
Lettuce,75,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,184,38,6,48,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,2,12,62
Potato,113,cups,Grains,Mashed Potatoes,Side Dish,Medium,262,37,44,8,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,3,23,22
Carrot,55,pieces,Vegetables,Carrot Soup,Soup,Medium,283,37,34,13,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,4,43,48
Onion,113,slices,Vegetables,Onion Rings,Snack,Medium,222,15,21,12,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,13,61
Chicken,89,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,357,24,28,22,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,2,12,104
Broccoli,154,ounces,Vegetables,Broccoli Salad,Lunch,Medium,386,35,43,27,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,42,31
Rice,164,cups,Grains,Tomato Soup,Soup,Medium,426,14,44,6,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,12,101
Tomato,145,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,475,42,16,44,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,4,16,76
Spinach,73,slices,Dairy,Rice Pilaf,Snack,Hard,173,16,47,35,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,2,46,12
Beef,121,grams,Proteins,Beef Stir-Fry,Dinner,Medium,241,16,47,48,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,44,97
Lettuce,110,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,188,17,11,21,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,51,40
Potato,106,cups,Grains,Mashed Potatoes,Side Dish,Medium,496,48,14,5,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,4,45,31
Carrot,184,pieces,Vegetables,Carrot Soup,Soup,Medium,194,27,15,25,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,25,89
Onion,51,slices,Vegetables,Onion Rings,Snack,Medium,126,39,38,30,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,33,53
Chicken,116,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,325,17,43,24,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,45,24
Broccoli,160,ounces,Vegetables,Broccoli Salad,Lunch,Medium,177,31,47,46,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,49,109
Rice,76,cups,Grains,Tomato Soup,Soup,Medium,275,48,29,39,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,58,41
Tomato,121,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,118,19,45,50,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,7,104
Spinach,70,slices,Dairy,Rice Pilaf,Snack,Hard,117,43,47,38,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,26,44
Beef,161,grams,Proteins,Beef Stir-Fry,Dinner,Medium,157,20,10,13,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,24,60
Lettuce,103,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,194,29,12,7,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,25,38
Potato,116,cups,Grains,Mashed Potatoes,Side Dish,Medium,488,50,50,35,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,3,25,14
Carrot,58,pieces,Vegetables,Carrot Soup,Soup,Medium,323,29,19,15,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,5,40
Onion,169,slices,Vegetables,Onion Rings,Snack,Medium,153,34,50,44,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,22,92
Chicken,51,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,409,47,11,37,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,52,72
Broccoli,57,ounces,Vegetables,Broccoli Salad,Lunch,Medium,146,35,32,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,37,97
Rice,175,cups,Grains,Tomato Soup,Soup,Medium,135,38,19,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,37,56
Tomato,88,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,229,11,40,50,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,4,43,23
Spinach,121,slices,Dairy,Rice Pilaf,Snack,Hard,323,24,37,8,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,38,91
Beef,115,grams,Proteins,Beef Stir-Fry,Dinner,Medium,488,17,41,27,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,59,111
Lettuce,167,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,359,7,15,15,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,29,81
